id	label	description	x	y	cluster	weight<Links>	weight<Total link strength>	weight<No. pub.>	score<Avg. pub. year>	weight<No. sentences>	weight<No. results 00: all valid queries>	weight<No. results 06: contradict* + studies>	weight<No. results 07: contradict* + results>	weight<No. results 14: contrast* + ideas>	weight<No. results 17: contrary + results>	weight<No. results 21: conflict* + studies>	weight<No. results 26: disagree* + studies>	weight<No. results 27: disagree* + results>	weight<No. results 36: controvers* + studies>	weight<No. results 37: controvers* + results>	weight<No. results 38: controvers* + methods>	weight<No. results 39: controvers* + ideas>	weight<No. results 40: controvers* + standalone>	weight<No. results 41: disprov* + studies>	weight<No. results 51: debat* + studies>	weight<No. results 52: debat* + results>	weight<No. results 53: debat* + methods>	weight<No. results 55: debat* + standalone>	weight<No. results 56: no consensus + studies>	weight<No. results 57: no consensus + results>	weight<No. results 58: no consensus + methods>	weight<No. results 59: no consensus + ideas>	weight<No. results 60: no consensus + standalone>	weight<No. results 63: questionable + methods>	weight<Share results 00: all valid queries>	weight<Share results 06: contradict* + studies>	weight<Share results 07: contradict* + results>	weight<Share results 14: contrast* + ideas>	weight<Share results 17: contrary + results>	weight<Share results 21: conflict* + studies>	weight<Share results 26: disagree* + studies>	weight<Share results 27: disagree* + results>	weight<Share results 36: controvers* + studies>	weight<Share results 37: controvers* + results>	weight<Share results 38: controvers* + methods>	weight<Share results 39: controvers* + ideas>	weight<Share results 40: controvers* + standalone>	weight<Share results 41: disprov* + studies>	weight<Share results 51: debat* + studies>	weight<Share results 52: debat* + results>	weight<Share results 53: debat* + methods>	weight<Share results 55: debat* + standalone>	weight<Share results 56: no consensus + studies>	weight<Share results 57: no consensus + results>	weight<Share results 58: no consensus + methods>	weight<Share results 59: no consensus + ideas>	weight<Share results 60: no consensus + standalone>	weight<Share results 63: questionable + methods>	score<00: all valid queries>	score<06: contradict* + studies>	score<07: contradict* + results>	score<14: contrast* + ideas>	score<17: contrary + results>	score<21: conflict* + studies>	score<26: disagree* + studies>	score<27: disagree* + results>	score<36: controvers* + studies>	score<37: controvers* + results>	score<38: controvers* + methods>	score<39: controvers* + ideas>	score<40: controvers* + standalone>	score<41: disprov* + studies>	score<51: debat* + studies>	score<52: debat* + results>	score<53: debat* + methods>	score<55: debat* + standalone>	score<56: no consensus + studies>	score<57: no consensus + results>	score<58: no consensus + methods>	score<59: no consensus + ideas>	score<60: no consensus + standalone>	score<63: questionable + methods>
1	1	<table><tr><td>Meso-level field:</td><td>1</td></tr><tr><td>Main fields:</td><td>Biomedical and health sciences; Life and earth sciences</td></tr><tr><td>Journals:</td><td>journal of ethnopharmacology; journal of natural products; journal of essential oil research; natural product communications; phytochemistry</td></tr><tr><td>Terms:</td><td>thymoquinone; oleanolic acid; diosgenin; pyrrolizidine alkaloid; ethnobotanical study</td></tr><tr><td>No. of pub.:</td><td>72815</td></tr><tr><td>Avg. pub. year:</td><td>2008.92</td></tr></table>	-0.297	-0.198	2	803	738081	72815	2008.9181	417058	544	35	92	3	68	30	14	25	16	18	4	2	175	1	2	2	0	119	0	0	0	0	6	0	0.001304375	8.39212E-05	0.000220593	7.19324E-06	0.000163047	7.19324E-05	3.35685E-05	5.99437E-05	3.8364E-05	4.31595E-05	9.59099E-06	4.7955E-06	0.000419606	2.39775E-06	4.7955E-06	4.7955E-06	0	0.000285332	0	0	0	0	1.43865E-05	0	-1.243853361	-0.669301224	-0.717863655	-2.899139299	-0.192853575	-1.078223339	-0.202575208	-0.52983259	-1.129952191	-1.295374722	-1.081238376	-1.418624708	-1.322346825	0.369784505	-3.560412761	-2.707567764	-100	-1.825618935	-100	-100	-100	-100	-2.914434831	-100
2	2	<table><tr><td>Meso-level field:</td><td>2</td></tr><tr><td>Main fields:</td><td>Physical sciences and engineering</td></tr><tr><td>Journals:</td><td>organic letters; tetrahedron letters; journal of organic chemistry; tetrahedron; journal of the american chemical society</td></tr><tr><td>Terms:</td><td>stereoselective total synthesis; pauson khand reaction; enantioselective addition; aryne; asymmetric conjugate addition</td></tr><tr><td>No. of pub.:</td><td>137693</td></tr><tr><td>Avg. pub. year:</td><td>2008.26</td></tr></table>	0.4564	-0.4264	3	780	1430681	137693	2008.2649	573992	366	23	52	5	80	9	3	15	8	4	1	0	83	0	7	3	2	110	0	0	0	0	1	1	0.00063764	4.00702E-05	9.05936E-05	8.71092E-06	0.000139375	1.56797E-05	5.22655E-06	2.61328E-05	1.39375E-05	6.96874E-06	1.74218E-06	0	0.000144601	0	1.21953E-05	5.22655E-06	3.48437E-06	0.00019164	0	0	0	0	1.74218E-06	1.74218E-06	-2.276398961	-1.735804882	-2.00176849	-2.622956302	-0.419170919	-3.27597153	-2.885750226	-1.727580781	-2.590734788	-3.92608232	-3.542020974	-100	-2.859301102	-100	-2.213840436	-2.58338786	-2.376906965	-2.399859582	-100	-100	-100	-100	-5.960179929	-2.23805197
3	3	<table><tr><td>Meso-level field:</td><td>3</td></tr><tr><td>Main fields:</td><td>Physical sciences and engineering</td></tr><tr><td>Journals:</td><td>tetrahedron letters; acta crystallographica section e-structure reports online; synthetic communications; journal of heterocyclic chemistry; tetrahedron</td></tr><tr><td>Terms:</td><td>biginelli reaction; dihydropyrimidin; thiazolidinone; dioxo octahydroxanthene; acylal</td></tr><tr><td>No. of pub.:</td><td>62838</td></tr><tr><td>Avg. pub. year:</td><td>2008.27</td></tr></table>	0.4493	-0.427	3	772	654539	62838	2008.2689	218729	158	7	16	0	25	5	3	7	3	2	0	0	50	2	2	1	0	49	0	0	0	0	1	1	0.000722355	3.20031E-05	7.31499E-05	0	0.000114297	2.28593E-05	1.37156E-05	3.20031E-05	1.37156E-05	9.14373E-06	0	0	0.000228593	9.14373E-06	9.14373E-06	4.57187E-06	0	0.000224022	0	0	0	0	4.57187E-06	4.57187E-06	-2.096431933	-2.060125798	-2.31032209	-100	-0.705356706	-2.732082319	-1.493864108	-1.435230337	-2.613886169	-3.534196202	-100	-100	-2.198598226	2.300888025	-2.62930924	-2.776464243	-100	-2.174623333	-100	-100	-100	-100	-4.568293811	-0.846165852
4	4	<table><tr><td>Meso-level field:</td><td>4</td></tr><tr><td>Main fields:</td><td>Social sciences and humanities</td></tr><tr><td>Journals:</td><td>research in african literatures; pmla-publications of the modern language association of america; mfs-modern fiction studies; new literary history; modernism-modernity</td></tr><tr><td>Terms:</td><td>don delillo; octavia butler; dionne brand; coetzee; gertrude stein</td></tr><tr><td>No. of pub.:</td><td>18703</td></tr><tr><td>Avg. pub. year:</td><td>2008.59</td></tr></table>	-0.3098	0.8232	1	651	25195	18703	2008.5881	6186	44	0	0	0	0	0	0	0	0	0	0	0	11	0	1	0	0	32	1	0	0	0	1	0	0.007112835	0	0	0	0	0	0	0	0	0	0	0	0.001778209	0	0.000161655	0	0	0.005172971	0.000161655	0	0	0	0.000161655	0	1.203212805	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	0.760971071	-100	1.514684628	-100	-100	2.354660691	4.146866418	-100	-100	-100	0.575700057	-100
5	5	<table><tr><td>Meso-level field:</td><td>5</td></tr><tr><td>Main fields:</td><td>Life and earth sciences</td></tr><tr><td>Journals:</td><td>journal of geophysical research-solid earth; tectonophysics; earth and planetary science letters; geophysical journal international; acta petrologica sinica</td></tr><tr><td>Terms:</td><td>subduction; north china craton; eclogite; petrogenesis; zircon u pb age</td></tr><tr><td>No. of pub.:</td><td>112384</td></tr><tr><td>Avg. pub. year:</td><td>2008.32</td></tr></table>	0.7125	0.0723	4	794	443139	112384	2008.3202	1926112	9984	79	401	131	190	42	58	152	75	105	89	39	3227	1	152	95	147	5596	5	8	2	2	247	18	0.005183499	4.10153E-05	0.000208191	6.80127E-05	9.86443E-05	2.18056E-05	3.01125E-05	7.89155E-05	3.89385E-05	5.4514E-05	4.62071E-05	2.0248E-05	0.001675396	5.19181E-07	7.89155E-05	4.93222E-05	7.63195E-05	0.002905335	2.5959E-06	4.15344E-06	1.03836E-06	1.03836E-06	0.000128238	9.34525E-06	0.746714358	-1.702175151	-0.801338843	0.341949543	-0.917832467	-2.80016817	-0.359320793	-0.133132924	-1.108505159	-0.958425864	1.187123396	0.659405852	0.675048268	-1.837587154	0.480143094	0.654916186	2.076176319	1.522371891	-1.813674534	0.597349903	-2.336595693	2.03030931	0.241598242	0.18528397
6	6	<table><tr><td>Meso-level field:</td><td>6</td></tr><tr><td>Main fields:</td><td>Biomedical and health sciences; Life and earth sciences</td></tr><tr><td>Journals:</td><td>journal of agricultural and food chemistry; food chemistry; food research international; journal of the science of food and agriculture; food and chemical toxicology</td></tr><tr><td>Terms:</td><td>gallate; epigallocatechin; coffee consumption; caffeine; green tea catechin</td></tr><tr><td>No. of pub.:</td><td>41091</td></tr><tr><td>Avg. pub. year:</td><td>2009.23</td></tr></table>	-0.2996	-0.1909	2	791	780606	41091	2009.2265	353419	763	61	137	3	75	45	20	43	31	57	6	0	273	0	9	5	0	137	1	0	0	0	7	1	0.002158911	0.0001726	0.000387642	8.48851E-06	0.000212213	0.000127328	5.65901E-05	0.000121669	8.77146E-05	0.000161282	1.6977E-05	0	0.000772454	0	2.54655E-05	1.41475E-05	0	0.000387642	2.8295E-06	0	0	0	1.98065E-05	2.8295E-06	-0.516908525	0.371021527	0.095474902	-2.660270869	0.187370704	-0.254392408	0.550866395	0.491444405	0.06311255	0.606458721	-0.257407445	-100	-0.441932365	-100	-1.151619329	-1.146771239	-100	-1.383536185	-1.68936254	-100	-100	-100	-2.453173979	-1.538400943
7	7	<table><tr><td>Meso-level field:</td><td>7</td></tr><tr><td>Main fields:</td><td>Biomedical and health sciences</td></tr><tr><td>Journals:</td><td>journal of ethnopharmacology; journal of chromatography a; planta medica; phytotherapy research; biological & pharmaceutical bulletin</td></tr><tr><td>Terms:</td><td>ginsenoside; berberine; tanshinone iia; honokiol; salvianolic acid b</td></tr><tr><td>No. of pub.:</td><td>29043</td></tr><tr><td>Avg. pub. year:</td><td>2009.34</td></tr></table>	-0.3442	-0.1896	2	786	429446	29043	2009.3422	197414	251	17	34	2	18	12	6	12	20	8	0	0	116	0	1	4	0	38	0	0	0	0	5	1	0.00127144	8.61134E-05	0.000172227	1.0131E-05	9.11789E-05	6.0786E-05	3.0393E-05	6.0786E-05	0.00010131	4.0524E-05	0	0	0.000587598	0	5.0655E-06	2.0262E-05	0	0.000192489	0	0	0	0	2.53275E-05	5.0655E-06	-1.280748921	-0.632097672	-1.074939042	-2.405078073	-1.031367688	-1.321127706	-0.345943902	-0.509702551	0.270999631	-1.386275996	-100	-100	-0.836553214	-100	-3.481389033	-0.628544037	-100	-2.393485457	-100	-100	-100	-100	-2.098445509	-0.698245646
8	8	<table><tr><td>Meso-level field:</td><td>8</td></tr><tr><td>Main fields:</td><td>Biomedical and health sciences</td></tr><tr><td>Journals:</td><td>journal of immunology; european journal of immunology; plos one; blood; proceedings of the national academy of sciences of the united states of america</td></tr><tr><td>Terms:</td><td>ny eso; nkt cell; killer cell immunoglobulin; alpha galactosylceramide; natural killer t cell</td></tr><tr><td>No. of pub.:</td><td>78263</td></tr><tr><td>Avg. pub. year:</td><td>2008.34</td></tr></table>	-0.7033	-0.2564	2	794	1845023	78263	2008.3383	562680	2037	109	266	24	71	137	21	21	88	142	11	6	1027	0	20	21	3	397	0	0	0	1	34	1	0.003620175	0.000193716	0.000472738	4.2653E-05	0.000126182	0.000243478	3.73214E-05	3.73214E-05	0.000156394	0.000252364	1.95493E-05	1.06633E-05	0.001825194	0	3.55442E-05	3.73214E-05	5.33163E-06	0.000705552	0	0	0	1.77721E-06	6.04251E-05	1.77721E-06	0.22884741	0.537533431	0.381790172	-0.331205952	-0.56263595	0.680851496	-0.049679359	-1.213438009	0.897412775	1.252380744	-0.05387341	-0.26572886	0.798595877	-100	-0.670551318	0.252683006	-1.763228519	-0.519508153	-100	-100	-100	2.805614316	-0.844001143	-2.209336025
9	9	<table><tr><td>Meso-level field:</td><td>9</td></tr><tr><td>Main fields:</td><td>Physical sciences and engineering</td></tr><tr><td>Journals:</td><td>organometallics; inorganic chemistry; journal of organometallic chemistry; dalton transactions; journal of the american chemical society</td></tr><tr><td>Terms:</td><td>ethylene polymerization; metallocene catalyst; ziegler natta catalyst; nitrogenase; methylaluminoxane</td></tr><tr><td>No. of pub.:</td><td>70442</td></tr><tr><td>Avg. pub. year:</td><td>2007.44</td></tr></table>	0.675	-0.4065	3	734	808291	70442	2007.4398	350379	345	7	37	6	34	6	4	11	4	2	1	0	106	2	13	1	2	132	0	0	0	0	3	1	0.000984648	1.99784E-05	0.0001056	1.71243E-05	9.70378E-05	1.71243E-05	1.14162E-05	3.13946E-05	1.14162E-05	5.7081E-06	2.85405E-06	0	0.00030253	5.7081E-06	3.71027E-05	2.85405E-06	5.7081E-06	0.000376735	0	0	0	0	8.56216E-06	2.85405E-06	-1.649531928	-2.739897596	-1.780640523	-1.647807576	-0.941521852	-3.148819711	-1.758598407	-1.462925438	-2.878620468	-4.213968	-2.829906654	-100	-1.794305759	1.621116227	-0.60864132	-3.456236041	-1.664792645	-1.424710856	-100	-100	-100	-100	-3.663103108	-1.52593765
10	10	<table><tr><td>Meso-level field:</td><td>10</td></tr><tr><td>Main fields:</td><td>Life and earth sciences</td></tr><tr><td>Journals:</td><td>journal of economic entomology; zootaxa; environmental entomology; biological control; entomologia experimentalis et applicata</td></tr><tr><td>Terms:</td><td>wolbachia; entomopathogenic nematode; phytoseiidae; tephritidae; anthocoridae</td></tr><tr><td>No. of pub.:</td><td>58826</td></tr><tr><td>Avg. pub. year:</td><td>2008.47</td></tr></table>	0.0204	-0.0213	4	789	443737	58826	2008.4694	278907	629	40	90	19	81	21	7	17	10	9	2	2	162	0	7	4	3	210	1	0	0	0	6	0	0.002255232	0.000143417	0.000322688	6.81231E-05	0.000290419	7.52939E-05	2.5098E-05	6.09522E-05	3.58542E-05	3.22688E-05	7.17085E-06	7.17085E-06	0.000580839	0	2.5098E-05	1.43417E-05	1.07563E-05	0.000752939	3.58542E-06	0	0	0	2.15125E-05	0	-0.453936107	0.103807743	-0.169108626	0.344289602	0.639997475	-1.012332623	-0.622111319	-0.505762049	-1.227560207	-1.714910833	-1.500774488	-0.838160819	-0.853244045	-100	-1.17259395	-1.127103875	-0.750697978	-0.425727291	-1.347767082	-100	-100	-100	-2.333970942	-100
11	11	<table><tr><td>Meso-level field:</td><td>11</td></tr><tr><td>Main fields:</td><td>Mathematics and computer science</td></tr><tr><td>Journals:</td><td>statistics in medicine; computational statistics & data analysis; journal of statistical planning and inference; communications in statistics-theory and methods; statistics & probability letters</td></tr><tr><td>Terms:</td><td>longitudinal data; empirical likelihood; coefficient model; treatment effect; propensity score</td></tr><tr><td>No. of pub.:</td><td>46827</td></tr><tr><td>Avg. pub. year:</td><td>2009.01</td></tr></table>	0.0011	0.3724	5	808	365070	46827	2009.0137	276654	239	5	28	12	20	8	2	6	5	6	5	0	64	0	6	4	8	87	1	1	1	0	11	2	0.000863895	1.80731E-05	0.000101209	4.33755E-05	7.22925E-05	2.8917E-05	7.22925E-06	2.16877E-05	1.80731E-05	2.16877E-05	1.80731E-05	0	0.000231336	0	2.16877E-05	1.44585E-05	2.8917E-05	0.000314472	3.61462E-06	3.61462E-06	3.61462E-06	0	3.97609E-05	7.22925E-06	-1.838284145	-2.884490897	-1.84190544	-0.30697405	-1.366223073	-2.392948685	-2.41776488	-1.99656103	-2.215858847	-2.288171973	-0.167145032	-100	-2.181392687	-100	-1.383285011	-1.115402515	0.676040882	-1.685327953	-1.336065721	0.39688681	-0.537058786	-100	-1.447800464	-0.185104124
