query_id,signal_name,filter_name,Biomedical and health sciences,Life and earth sciences,Mathematics and computer science,Physical sciences and engineering,Social sciences and humanities,All
1,challenge*,studies,17135,4755,715,2529,3741,28875
2,challenge*,results,14225,3576,1231,1886,3965,24883
3,challenge*,methods,9782,4131,1757,4939,2557,23166
4,challenge*,ideas,4462,2681,287,1205,3463,12098
5,challenge*,standalone,289193,108283,27567,110026,91384,626453
6,contradict*,studies,25809,6428,159,5360,3286,41042
7,contradict*,results,52229,16544,923,18626,10396,98718
8,contradict*,methods,1583,1054,224,1505,562,4928
9,contradict*,ideas,2514,2125,383,1818,1580,8420
10,contradict*,standalone,90499,37240,6668,42473,27003,203883
11,contrast*,studies,131621,33072,1590,20580,17702,204565
12,contrast*,results,98837,35962,2203,26247,16458,179707
13,contrast*,methods,21009,9793,6789,18249,7046,62886
14,contrast*,ideas,3750,2542,424,2422,3494,12632
15,contrast*,standalone,1016362,366236,41916,366288,157200,1948002
16,contrary,studies,16501,5410,259,4868,2694,29732
17,contrary,results,18112,8389,400,8456,5557,40914
18,contrary,methods,1491,1239,1003,3169,726,7628
19,contrary,ideas,2066,1090,135,1010,1194,5495
20,contrary,standalone,93791,51459,7531,76747,26312,255840
21,conflict*,studies,42253,4585,791,2625,5591,55845
22,conflict*,results,95215,10373,1009,6186,8797,121580
23,conflict*,methods,4144,1549,1175,815,2330,10013
24,conflict*,ideas,2482,1128,165,404,2002,6181
25,conflict*,standalone,192447,46467,14736,19103,113313,386066
26,disagree*,studies,5730,2142,78,2368,829,11147
27,disagree*,results,6036,4248,185,7655,734,18858
28,disagree*,methods,658,768,99,1096,249,2870
29,disagree*,ideas,399,388,30,749,203,1769
30,disagree*,standalone,27764,17449,1790,26836,12226,86065
31,differ*,studies,107677,26873,2652,15930,25536,178668
32,differ*,results,80679,29790,3856,29049,20517,163891
33,differ*,methods,31649,23933,21644,51381,11571,140178
34,differ*,ideas,3798,2247,1475,3371,4233,15124
35,differ*,standalone,1210391,622737,115780,664894,343109,2956911
36,controvers*,studies,23465,2518,85,3721,1443,31232
37,controvers*,results,29201,3409,100,3955,1377,38042
38,controvers*,methods,4015,1269,115,1032,409,6840
39,controvers*,ideas,1894,952,68,641,454,4009
40,controvers*,standalone,230408,53269,1642,46084,20630,352033
41,disprov*,studies,322,86,1,71,42,522
42,disprov*,results,255,98,16,127,36,532
43,disprov*,methods,86,45,9,29,21,190
44,disprov*,ideas,377,191,13,115,55,751
45,disprov*,standalone,1905,800,521,1029,350,4605
46,refut*,studies,2236,368,19,103,204,2930
47,refut*,results,2262,554,55,241,506,3618
48,refut*,methods,160,152,18,74,133,537
49,refut*,ideas,1264,660,43,173,439,2579
50,refut*,standalone,8897,3528,465,1618,2919,17427
51,debat*,studies,9354,3462,163,3287,4189,20455
52,debat*,results,5597,1742,107,875,1577,9898
53,debat*,methods,2004,1998,107,889,1044,6042
54,debat*,ideas,1091,1190,120,463,1089,3953
55,debat*,standalone,130524,88233,3271,42088,64890,329006
56,no consensus,studies,1986,303,42,374,432,3137
57,no consensus,results,676,93,4,57,68,898
58,no consensus,methods,1022,146,21,142,168,1499
59,no consensus,ideas,20,14,0,11,30,75
60,no consensus,standalone,21270,4760,448,3362,3363,33203
61,questionable,studies,1440,296,22,255,191,2204
62,questionable,results,1502,640,103,610,335,3190
63,questionable,methods,613,338,58,661,175,1845
64,questionable,ideas,269,281,46,429,212,1237
65,questionable,standalone,16460,7996,759,7930,3905,37050
