LR_main_field,measure,type,threshold,All,F1,F2,M1,M2
Biomedical and health sciences,perc_citances_found,citances,70,0.034627163,0.035354581,0.035132829,0.034299098,0.034294454
Life and earth sciences,perc_citances_found,citances,70,0.032074928,0.032776873,0.031776152,0.031847669,0.032015454
Mathematics and computer science,perc_citances_found,citances,70,0.020538325,0.020948106,0.020692898,0.020342995,0.020589327
Physical sciences and engineering,perc_citances_found,citances,70,0.020491195,0.020331887,0.019747397,0.020593157,0.020633592
Social sciences and humanities,perc_citances_found,citances,70,0.054648334,0.057712295,0.057711706,0.052650538,0.053135223
All,perc_citances_found,citances,70,0.031584948,0.033702184,0.033367297,0.030589858,0.030836229
Biomedical and health sciences,n_citances_found,citances,70,1571533,327586,218564,453306,572077
Life and earth sciences,n_citances_found,citances,70,695946,132615,86910,215582,260839
Mathematics and computer science,n_citances_found,citances,70,126564,13495,11662,49863,51544
Physical sciences and engineering,n_citances_found,citances,70,535300,72438,50453,193950,218459
Social sciences and humanities,n_citances_found,citances,70,495647,106446,83705,147327,158169
All,n_citances_found,citances,70,3424990,652580,451294,1060028,1261088
Biomedical and health sciences,tot_n_citances,citances,70,45384399,9265730,6221076,13216266,16681327
Life and earth sciences,tot_n_citances,citances,70,21697508,4045993,2735070,6769161,8147284
Mathematics and computer science,tot_n_citances,citances,70,6162333,644211,563575,2451114,2503433
Physical sciences and engineering,tot_n_citances,citances,70,26123415,3562778,2554919,9418177,10587541
Social sciences and humanities,tot_n_citances,citances,70,9069755,1844425,1450399,2798205,2976726
All,tot_n_citances,citances,70,108437410,19363137,13525039,34652923,40896311
Biomedical and health sciences,perc_citances_valid,citances,70,0.00499859,0.005005542,0.004947215,0.005033721,0.004986054
Life and earth sciences,perc_citances_valid,citances,70,0.003566354,0.003470594,0.003466456,0.003670765,0.003560696
Mathematics and computer science,perc_citances_valid,citances,70,0.001430952,0.001477777,0.001556137,0.001434858,0.001386896
Physical sciences and engineering,perc_citances_valid,citances,70,0.001677384,0.001684921,0.001660327,0.001696613,0.001661859
Social sciences and humanities,perc_citances_valid,citances,70,0.007352349,0.007470079,0.007457948,0.007355787,0.007224716
All,perc_citances_valid,citances,70,0.003906032,0.004191211,0.004154812,0.003793446,0.003784131
Biomedical and health sciences,n_citances_valid,citances,70,226858,46380,30777,66527,83174
Life and earth sciences,n_citances_valid,citances,70,77381,14042,9481,24848,29010
Mathematics and computer science,n_citances_valid,citances,70,8818,952,877,3517,3472
Physical sciences and engineering,n_citances_valid,citances,70,43819,6003,4242,15979,17595
Social sciences and humanities,n_citances_valid,citances,70,66684,13778,10817,20583,21506
All,n_citances_valid,citances,70,423560,81155,56194,131454,154757
Biomedical and health sciences,perc_citances_found,citances,75,0.034627163,0.035354581,0.035132829,0.034299098,0.034294454
Life and earth sciences,perc_citances_found,citances,75,0.032074928,0.032776873,0.031776152,0.031847669,0.032015454
Mathematics and computer science,perc_citances_found,citances,75,0.020538325,0.020948106,0.020692898,0.020342995,0.020589327
Physical sciences and engineering,perc_citances_found,citances,75,0.020491195,0.020331887,0.019747397,0.020593157,0.020633592
Social sciences and humanities,perc_citances_found,citances,75,0.054648334,0.057712295,0.057711706,0.052650538,0.053135223
All,perc_citances_found,citances,75,0.031584948,0.033702184,0.033367297,0.030589858,0.030836229
Biomedical and health sciences,n_citances_found,citances,75,1571533,327586,218564,453306,572077
Life and earth sciences,n_citances_found,citances,75,695946,132615,86910,215582,260839
Mathematics and computer science,n_citances_found,citances,75,126564,13495,11662,49863,51544
Physical sciences and engineering,n_citances_found,citances,75,535300,72438,50453,193950,218459
Social sciences and humanities,n_citances_found,citances,75,495647,106446,83705,147327,158169
All,n_citances_found,citances,75,3424990,652580,451294,1060028,1261088
Biomedical and health sciences,tot_n_citances,citances,75,45384399,9265730,6221076,13216266,16681327
Life and earth sciences,tot_n_citances,citances,75,21697508,4045993,2735070,6769161,8147284
Mathematics and computer science,tot_n_citances,citances,75,6162333,644211,563575,2451114,2503433
Physical sciences and engineering,tot_n_citances,citances,75,26123415,3562778,2554919,9418177,10587541
Social sciences and humanities,tot_n_citances,citances,75,9069755,1844425,1450399,2798205,2976726
All,tot_n_citances,citances,75,108437410,19363137,13525039,34652923,40896311
Biomedical and health sciences,perc_citances_valid,citances,75,0.00472365,0.004716952,0.004651446,0.004765567,0.004721087
Life and earth sciences,perc_citances_valid,citances,75,0.003178798,0.0031179,0.003082919,0.003254761,0.003178114
Mathematics and computer science,perc_citances_valid,citances,75,0.000799697,0.000796323,0.000912035,0.000801676,0.000773338
Physical sciences and engineering,perc_citances_valid,citances,75,0.001429981,0.001460939,0.001430965,0.001432549,0.001417043
Social sciences and humanities,perc_citances_valid,citances,75,0.006350116,0.006435068,0.006376866,0.006347283,0.006287109
All,perc_citances_valid,citances,75,0.003534112,0.003816944,0.003755109,0.00341192,0.003430652
Biomedical and health sciences,n_citances_valid,citances,75,214380,43706,28937,62983,78754
Life and earth sciences,n_citances_valid,citances,75,68972,12615,8432,22032,25893
Mathematics and computer science,n_citances_valid,citances,75,4928,513,514,1965,1936
Physical sciences and engineering,n_citances_valid,citances,75,37356,5205,3656,13492,15003
Social sciences and humanities,n_citances_valid,citances,75,57594,11869,9249,17761,18715
All,n_citances_valid,citances,75,383230,73908,50788,118233,140301
Biomedical and health sciences,perc_citances_found,citances,80,0.034627163,0.035354581,0.035132829,0.034299098,0.034294454
Life and earth sciences,perc_citances_found,citances,80,0.032074928,0.032776873,0.031776152,0.031847669,0.032015454
Mathematics and computer science,perc_citances_found,citances,80,0.020538325,0.020948106,0.020692898,0.020342995,0.020589327
Physical sciences and engineering,perc_citances_found,citances,80,0.020491195,0.020331887,0.019747397,0.020593157,0.020633592
Social sciences and humanities,perc_citances_found,citances,80,0.054648334,0.057712295,0.057711706,0.052650538,0.053135223
All,perc_citances_found,citances,80,0.031584948,0.033702184,0.033367297,0.030589858,0.030836229
Biomedical and health sciences,n_citances_found,citances,80,1571533,327586,218564,453306,572077
Life and earth sciences,n_citances_found,citances,80,695946,132615,86910,215582,260839
Mathematics and computer science,n_citances_found,citances,80,126564,13495,11662,49863,51544
Physical sciences and engineering,n_citances_found,citances,80,535300,72438,50453,193950,218459
Social sciences and humanities,n_citances_found,citances,80,495647,106446,83705,147327,158169
All,n_citances_found,citances,80,3424990,652580,451294,1060028,1261088
Biomedical and health sciences,tot_n_citances,citances,80,45384399,9265730,6221076,13216266,16681327
Life and earth sciences,tot_n_citances,citances,80,21697508,4045993,2735070,6769161,8147284
Mathematics and computer science,tot_n_citances,citances,80,6162333,644211,563575,2451114,2503433
Physical sciences and engineering,tot_n_citances,citances,80,26123415,3562778,2554919,9418177,10587541
Social sciences and humanities,tot_n_citances,citances,80,9069755,1844425,1450399,2798205,2976726
All,tot_n_citances,citances,80,108437410,19363137,13525039,34652923,40896311
Biomedical and health sciences,perc_citances_valid,citances,80,0.004075828,0.004045013,0.003985806,0.004133997,0.004080431
Life and earth sciences,perc_citances_valid,citances,80,0.0029019,0.002816367,0.002805047,0.002993724,0.002900599
