gender,type,threshold,perc_intext_citations_found,n_intext_citations_found,perc_intext_citations_valid,n_intext_citations_valid,tot_n_intext_citations
All,citations,80,0.032584697,7716572,0.004310341,1020757,236815831
F1,citations,80,0.034958605,1451803,0.004570061,189791,41529203
F2,citations,80,0.034533631,1019904,0.004459693,131711,29533645
M1,citations,80,0.0315005,2378519,0.004223854,318932,75507342
M2,citations,80,0.031761601,2866346,0.004214309,380323,90245641
All,citations,75,0.032584697,7716572,0.004908304,1162364,236815831
F1,citations,75,0.034958605,1451803,0.005255242,218246,41529203
F2,citations,75,0.034533631,1019904,0.005113321,151015,29533645
M1,citations,75,0.0315005,2378519,0.004769616,360141,75507342
M2,citations,75,0.031761601,2866346,0.004797595,432962,90245641
All,citations,70,0.032584697,7716572,0.005303623,1255982,236815831
F1,citations,70,0.034958605,1451803,0.005662281,235150,41529203
F2,citations,70,0.034533631,1019904,0.005541307,163655,29533645
M1,citations,70,0.0315005,2378519,0.005170994,390448,75507342
M2,citations,70,0.031761601,2866346,0.005171762,466729,90245641
All,citances,80,0.031435466,3935150,0.003078194,385334,125181856
F1,citances,80,0.033600692,741241,0.003308796,72993,22060290
F2,citances,80,0.03320008,523165,0.003252391,51251,15757944
M1,citances,80,0.030436519,1211792,0.002992459,119141,39813751
M2,citances,80,0.030682565,1458952,0.002985266,141949,47549871
All,citances,75,0.031435466,3935150,0.003498702,437974,125181856
F1,citances,75,0.033600692,741241,0.00379102,83631,22060290
F2,citances,75,0.03320008,523165,0.003714381,58531,15757944
M1,citances,75,0.030436519,1211792,0.00337715,134457,39813751
M2,citances,75,0.030682565,1458952,0.003393385,161355,47549871
All,citances,70,0.031435466,3935150,0.00387271,484793,125181856
F1,citances,70,0.033600692,741241,0.004169211,91974,22060290
F2,citances,70,0.03320008,523165,0.004114623,64838,15757944
M1,citances,70,0.030436519,1211792,0.003762293,149791,39813751
M2,citances,70,0.030682565,1458952,0.003747434,178190,47549871
