pub_year,type,threshold,field,perc_intext_citations
1998,citances,70,All,0.003948082
1999,citances,70,All,0.003945942
2000,citances,70,All,0.003855975
2001,citances,70,All,0.003987642
2002,citances,70,All,0.003983668
2003,citances,70,All,0.004078181
2004,citances,70,All,0.004003753
2005,citances,70,All,0.004048042
2006,citances,70,All,0.004045476
2007,citances,70,All,0.004033222
2008,citances,70,All,0.003991757
2009,citances,70,All,0.004048919
2010,citances,70,All,0.004063812
2011,citances,70,All,0.003983581
2012,citances,70,All,0.00398131
2013,citances,70,All,0.003983748
2014,citances,70,All,0.003892665
2015,citances,70,All,0.003787554
2016,citances,70,All,0.003766998
All,citances,70,All,0.003949173
1998,citances,75,All,0.003532171
1999,citances,75,All,0.003549862
2000,citances,75,All,0.003436374
2001,citances,75,All,0.003560248
2002,citances,75,All,0.003552247
2003,citances,75,All,0.003645782
2004,citances,75,All,0.00359349
2005,citances,75,All,0.003640156
2006,citances,75,All,0.003640853
2007,citances,75,All,0.003640036
2008,citances,75,All,0.003590592
2009,citances,75,All,0.003643892
2010,citances,75,All,0.003659505
2011,citances,75,All,0.003591827
2012,citances,75,All,0.003595511
2013,citances,75,All,0.003583413
2014,citances,75,All,0.003468259
2015,citances,75,All,0.003375178
2016,citances,75,All,0.003356702
All,citances,75,All,0.003541604
1998,citances,80,All,0.00312355
1999,citances,80,All,0.003145564
2000,citances,80,All,0.003062203
2001,citances,80,All,0.003171661
2002,citances,80,All,0.003152027
2003,citances,80,All,0.003224673
2004,citances,80,All,0.003177359
2005,citances,80,All,0.003224951
2006,citances,80,All,0.00323367
2007,citances,80,All,0.003223076
2008,citances,80,All,0.003189162
2009,citances,80,All,0.003229774
2010,citances,80,All,0.003248363
2011,citances,80,All,0.00318586
2012,citances,80,All,0.003169133
2013,citances,80,All,0.003166934
2014,citances,80,All,0.003058586
2015,citances,80,All,0.002983971
2016,citances,80,All,0.002961173
All,citances,80,All,0.003134633
1998,citations,70,All,0.005573943
1999,citations,70,All,0.005600859
2000,citations,70,All,0.005434082
2001,citations,70,All,0.005508804
2002,citations,70,All,0.005474776
2003,citations,70,All,0.00556116
2004,citations,70,All,0.005553497
2005,citations,70,All,0.005543176
2006,citations,70,All,0.005602241
2007,citations,70,All,0.00554349
2008,citations,70,All,0.005397508
2009,citations,70,All,0.005493278
2010,citations,70,All,0.005549728
2011,citations,70,All,0.005410612
2012,citations,70,All,0.005415199
2013,citations,70,All,0.005422103
2014,citations,70,All,0.005252964
2015,citations,70,All,0.005141
2016,citations,70,All,0.005102373
All,citations,70,All,0.005394443
1998,citations,75,All,0.005129955
1999,citations,75,All,0.005150815
2000,citations,75,All,0.004978103
2001,citations,75,All,0.005051338
2002,citations,75,All,0.005006101
2003,citations,75,All,0.005109727
2004,citations,75,All,0.005097325
2005,citations,75,All,0.005102352
2006,citations,75,All,0.005166556
2007,citations,75,All,0.005123061
2008,citations,75,All,0.004973375
2009,citations,75,All,0.005062154
2010,citations,75,All,0.005120343
2011,citations,75,All,0.004996372
2012,citations,75,All,0.004999153
2013,citations,75,All,0.004998492
2014,citations,75,All,0.00482291
2015,citations,75,All,0.004717378
2016,citations,75,All,0.004676417
All,citations,75,All,0.004963098
1998,citations,80,All,0.004539569
1999,citations,80,All,0.004572064
2000,citations,80,All,0.004437385
2001,citations,80,All,0.004484582
2002,citations,80,All,0.004441231
2003,citations,80,All,0.004500904
2004,citations,80,All,0.004508636
2005,citations,80,All,0.004508229
2006,citations,80,All,0.004591115
2007,citations,80,All,0.004544923
2008,citations,80,All,0.004414749
2009,citations,80,All,0.004471719
2010,citations,80,All,0.00453438
2011,citations,80,All,0.004425429
2012,citations,80,All,0.004403112
2013,citations,80,All,0.004408662
2014,citations,80,All,0.004235441
2015,citations,80,All,0.004165601
2016,citations,80,All,0.004128636
All,citations,80,All,0.004387556
1998,citances,70,Biomedical and health sciences,NA
1999,citances,70,Biomedical and health sciences,NA
2000,citances,70,Biomedical and health sciences,0.004727419
2001,citances,70,Biomedical and health sciences,0.004806682
2002,citances,70,Biomedical and health sciences,0.0048037
2003,citances,70,Biomedical and health sciences,0.004955525
2004,citances,70,Biomedical and health sciences,0.004798203
2005,citances,70,Biomedical and health sciences,0.004883517
2006,citances,70,Biomedical and health sciences,0.004968535
2007,citances,70,Biomedical and health sciences,0.005035835
2008,citances,70,Biomedical and health sciences,0.004950339
2009,citances,70,Biomedical and health sciences,0.005152285
2010,citances,70,Biomedical and health sciences,0.005118946
2011,citances,70,Biomedical and health sciences,0.005080803
2012,citances,70,Biomedical and health sciences,0.005082988
2013,citances,70,Biomedical and health sciences,0.005138561
2014,citances,70,Biomedical and health sciences,0.005094838
2015,citances,70,Biomedical and health sciences,0.004910884
2016,citances,70,Biomedical and health sciences,NA
All,citances,70,Biomedical and health sciences,0.005000625
1998,citances,75,Biomedical and health sciences,NA
1999,citances,75,Biomedical and health sciences,NA
2000,citances,75,Biomedical and health sciences,0.004443175
2001,citances,75,Biomedical and health sciences,0.004517123
2002,citances,75,Biomedical and health sciences,0.004509291
2003,citances,75,Biomedical and health sciences,0.00467092
2004,citances,75,Biomedical and health sciences,0.004506891
2005,citances,75,Biomedical and health sciences,0.004604807
2006,citances,75,Biomedical and health sciences,0.004670275
2007,citances,75,Biomedical and health sciences,0.004753548
2008,citances,75,Biomedical and health sciences,0.004670762
2009,citances,75,Biomedical and health sciences,0.004858469
2010,citances,75,Biomedical and health sciences,0.004823582
2011,citances,75,Biomedical and health sciences,0.004788138
2012,citances,75,Biomedical and health sciences,0.004796581
2013,citances,75,Biomedical and health sciences,0.004861209
2014,citances,75,Biomedical and health sciences,0.004816796
2015,citances,75,Biomedical and health sciences,0.00465058
2016,citances,75,Biomedical and health sciences,NA
All,citances,75,Biomedical and health sciences,0.004716568
1998,citances,80,Biomedical and health sciences,NA
1999,citances,80,Biomedical and health sciences,NA
2000,citances,80,Biomedical and health sciences,0.003894408
2001,citances,80,Biomedical and health sciences,0.003931497
2002,citances,80,Biomedical and health sciences,0.003938873
2003,citances,80,Biomedical and health sciences,0.004039778
