,pub_year,type,threshold,gender,authorship,perc_intext_citations
1,2008,citations,80,female,first,0.004685501
2,2009,citations,80,female,first,0.00482474
3,2010,citations,80,female,first,0.004780539
4,2011,citations,80,female,first,0.004634554
5,2012,citations,80,female,first,0.004724043
6,2013,citations,80,female,first,0.00469782
7,2014,citations,80,female,first,0.00454178
8,2015,citations,80,female,first,0.004347809
9,2016,citations,80,female,first,0.004135768
10,All,citations,80,female,first,0.004570061
11,2008,citations,75,female,first,0.005105846
12,2009,citations,75,female,first,0.005360986
13,2010,citations,75,female,first,0.00548383
14,2011,citations,75,female,first,0.005513562
15,2012,citations,75,female,first,0.00540157
16,2013,citations,75,female,first,0.005429008
17,2014,citations,75,female,first,0.005174959
18,2015,citations,75,female,first,0.005044968
19,2016,citations,75,female,first,0.00490975
20,All,citations,75,female,first,0.005255242
21,2008,citations,70,female,first,0.005482569
22,2009,citations,70,female,first,0.005755101
23,2010,citations,70,female,first,0.005878506
24,2011,citations,70,female,first,0.005890363
25,2012,citations,70,female,first,0.00580404
26,2013,citations,70,female,first,0.005830604
27,2014,citations,70,female,first,0.005595339
28,2015,citations,70,female,first,0.005472134
29,2016,citations,70,female,first,0.005350642
30,All,citations,70,female,first,0.005662281
31,2008,citances,80,female,first,0.003216293
32,2009,citances,80,female,first,0.003365458
33,2010,citances,80,female,first,0.003414399
34,2011,citances,80,female,first,0.003439907
35,2012,citances,80,female,first,0.003380658
36,2013,citances,80,female,first,0.003460817
37,2014,citances,80,female,first,0.003264853
38,2015,citances,80,female,first,0.003197431
39,2016,citances,80,female,first,0.003094309
40,All,citances,80,female,first,0.003308796
41,2008,citances,75,female,first,0.003669435
42,2009,citances,75,female,first,0.003860567
43,2010,citances,75,female,first,0.003928491
44,2011,citances,75,female,first,0.00392944
45,2012,citances,75,female,first,0.003908822
46,2013,citances,75,female,first,0.00393563
47,2014,citances,75,female,first,0.003734441
48,2015,citances,75,female,first,0.003656964
49,2016,citances,75,female,first,0.003563591
50,All,citances,75,female,first,0.00379102
51,2008,citances,70,female,first,0.004009441
52,2009,citances,70,female,first,0.004226563
53,2010,citances,70,female,first,0.004305392
54,2011,citances,70,female,first,0.004277602
55,2012,citances,70,female,first,0.004271344
56,2013,citances,70,female,first,0.004309102
57,2014,citances,70,female,first,0.004131248
58,2015,citances,70,female,first,0.004058905
59,2016,citances,70,female,first,0.003969949
60,All,citances,70,female,first,0.004169211
61,2008,citations,80,female,last,0.004698493
62,2009,citations,80,female,last,0.004800267
63,2010,citations,80,female,last,0.004797524
64,2011,citations,80,female,last,0.004719364
65,2012,citations,80,female,last,0.004777888
66,2013,citations,80,female,last,0.004760825
