LR_main_field,type,threshold,measure,0-5,5-10,10-15,15-20,20-25,25-30,30-35,35-40,40-45,45-50,50-55,55-60,60-65,65-70,70-75,75-80,80-85,85-90,90-95,95-100
All,citations,80,n_intext_citations,0.04247752,0.035105544,0.019996582,0.01108762,0.007339415,0.005861328,0.005227744,0.004993805,0.005202027,0.005490925,0.006351604,0.007526483,0.009212377,0.011525426,0.013051006,0.013770658,0.014061422,0.013197425,0.010885205,0.004806737
Biomedical and health sciences,citations,80,n_intext_citations,0.053083197,0.051370502,0.026563016,0.012541574,0.007904376,0.006489451,0.006273205,0.006029324,0.006655263,0.007614206,0.009518967,0.011901127,0.015531019,0.019808957,0.022881308,0.023710366,0.023454049,0.021649466,0.017601591,0.006962014
Life and earth sciences,citations,80,n_intext_citations,0.073703143,0.045276723,0.026650758,0.01430384,0.009452009,0.006868589,0.005805656,0.005585678,0.006069629,0.006307205,0.007347261,0.008589696,0.010405833,0.013362335,0.015606109,0.016676082,0.018319756,0.016866143,0.014252806,0.005545202
Mathematics and computer science,citations,80,n_intext_citations,0.006878055,0.004883377,0.00310377,0.002429037,0.001729002,0.001349465,0.001159697,0.001100657,0.000969928,0.000611476,0.000619911,0.000628345,0.000704252,0.000906672,0.001003665,0.001109092,0.001324163,0.001758522,0.001324163,0.000927757
Physical sciences and engineering,citations,80,n_intext_citations,0.017179894,0.016283121,0.00986591,0.005317736,0.003062871,0.002269544,0.002132546,0.002236692,0.002435199,0.002682633,0.002643491,0.002964316,0.003087334,0.0034487,0.003496929,0.003612957,0.003861789,0.003667477,0.002876946,0.001431483
Social sciences and humanities,citations,80,n_intext_citations,0.104253057,0.066865226,0.050627759,0.039432479,0.03053563,0.023874965,0.019110507,0.015600609,0.014053956,0.012406746,0.011391605,0.011219223,0.01200452,0.014834465,0.017659621,0.022026643,0.024315498,0.024928413,0.023534989,0.015504841
All,citations,80,perc_intext_citations1,0.171854889,0.142029465,0.080901861,0.044858122,0.029693691,0.023713671,0.021150325,0.020203859,0.021046281,0.022215099,0.025697222,0.030450528,0.037271292,0.04662939,0.052801556,0.055713113,0.056889483,0.053393936,0.044039194,0.019447022
Biomedical and health sciences,citations,80,perc_intext_citations1,0.14846662,0.14367644,0.074293212,0.035077109,0.022107486,0.018150128,0.017545317,0.016863214,0.018613881,0.021295919,0.02662328,0.033285863,0.043438187,0.055403011,0.063995965,0.06631473,0.065597845,0.060550668,0.049229301,0.019471824
Life and earth sciences,citations,80,perc_intext_citations1,0.225395698,0.138463277,0.081502172,0.043743374,0.028905716,0.021005215,0.0177546,0.017081874,0.018561872,0.019288417,0.022469068,0.026268628,0.031822659,0.040864104,0.047725915,0.050998057,0.05602467,0.051579293,0.043587301,0.016958092
Mathematics and computer science,citations,80,perc_intext_citations1,0.199242609,0.141461031,0.089909602,0.070364036,0.050085512,0.039091131,0.033593941,0.031883704,0.028096751,0.017713169,0.017957488,0.018201808,0.020400684,0.026264354,0.029074029,0.032128023,0.038358172,0.05094063,0.038358172,0.026875153
